"","RT1","RT2","RT3","RT4","Order1","Order2","Order3","Order4","Value1","Value2","Value3","Value4","choiceCondition","trialN","participant","sex","firstRT","firstValue","meanValue","valueDiff","bestValue","worstValue","NChosen","minValue","maxValue","isBestFirst","isWorstFirst","catChoiceCondition","conflict","multiTarget"
"1",-1,-1,-1,0.896352138006478,-1,-1,-1,1,10,10,9.91765009892451,10,1,0,1002,0,0.896352138006478,10,9.97941252473113,0.0274499670251627,10,9.91765009892451,1,0,1,1,0,"XOR",4,TRUE
"2",-1,-1,-1,3.97287986500305,-1,-1,-1,1,1.56082747818588,8.97148627739448,7.81415666852679,9.88174240310471,1,1,1002,0,3.97287986500305,9.88174240310471,7.05705320680296,3.76625226173566,9.88174240310471,1.56082747818588,1,0,1,1,0,"XOR",3,FALSE
"3",-1,-1,-1,2.68252302901237,-1,-1,-1,1,0,8.3132181539164,9.45612127130682,10,1,2,1002,0,2.68252302901237,10,6.9423348563058,4.07688685825893,10,0,1,0,1,1,0,"XOR",2,FALSE
"4",1.54614375501114,2.69814019900514,-1,4.3142547840107,1,2,-1,3,10,9.02946967583198,7.49891404981737,8.76198508522727,0,3,1002,0,1.54614375501114,10,8.82259220271916,1.56987706304113,10,7.49891404981737,3,0,1,1,0,"OR",1,FALSE
"5",-1,-1,-1,3.08803986100247,-1,-1,-1,1,9.5963039645901,10,8.97172407670455,9.97234394023945,1,4,1002,0,3.08803986100247,9.97234394023945,9.63509299538352,0.486542672821969,10,8.97172407670455,1,0,1,0,0,"XOR",5,FALSE
"6",3.24212256500323,2.66598284400243,4.41796525400423,3.84995518000505,2,1,4,3,8.9364108791599,9.31066735998377,1.5121975192776,6.09078543526786,0,5,1002,0,2.66598284400243,9.31066735998377,6.46251529842228,3.79753608208198,9.31066735998377,1.5121975192776,4,0,1,1,0,"OR",1,FALSE
"7",1.27288381000108,-1,-1,-1,1,-1,-1,-1,10,10,9.10061130275974,9.34403852982955,1,6,1002,0,1.27288381000108,10,9.61116245814732,0.518450055803572,10,9.10061130275974,1,0,1,1,0,"XOR",4,TRUE
"8",2.78978185399319,-1,5.74988666900026,4.42181884999445,1,-1,3,2,7.01186142958604,4.06358595018263,7.70500678520698,7.57136357295049,0,7,1002,0,2.78978185399319,7.01186142958604,6.58795443448153,1.48940313430059,7.70500678520698,4.06358595018263,3,0,1,0,0,"OR",2,FALSE
"9",4.99775054599741,-1,3.68578300499939,-1,2,-1,1,-1,6.97036544997971,1.13255092075893,9.12855272169237,2.7189893846388,0,8,1002,0,3.68578300499939,9.12855272169237,4.98761461926745,5.52125080323323,9.12855272169237,1.13255092075893,2,0,1,1,0,"OR",2,FALSE
"10",-1,2.18608940100239,-1,-1,-1,1,-1,-1,8.76036012327516,9.31066735998377,9.9774169921875,9.04758205661526,1,9,1002,0,2.18608940100239,9.31066735998377,9.27400663301542,0.937880478896105,9.9774169921875,8.76036012327516,1,0,1,0,0,"XOR",4,FALSE
"11",-1,-1,-1,1.57672098599141,-1,-1,-1,1,5.22392768364448,10,10,10,1,10,1002,0,1.57672098599141,10,8.80598192091112,1.59202410545184,10,5.22392768364448,1,0,1,1,0,"XOR",4,TRUE
"12",1.22595199200441,-1,-1,-1,1,-1,-1,-1,10,4.62003633573458,4.56546139407468,10,1,11,1002,0,1.22595199200441,10,7.29637443245231,3.60483409006358,10,4.56546139407468,1,0,1,1,0,"XOR",4,TRUE
"13",-1,-1,-1,2.79474497099,-1,-1,-1,1,6.97036544997971,7.24486512023133,3.17580185927354,8.68600820566153,1,12,1002,0,2.79474497099,8.68600820566153,6.51926015878653,2.88899739583333,8.68600820566153,3.17580185927354,1,0,1,1,0,"XOR",2,FALSE
"14",-1,2.78151986400189,-1,-1,-1,1,-1,-1,10,10,7.52420004312094,1.87349393770292,1,13,1002,0,2.78151986400189,10,7.34942349520597,3.53410200639205,10,1.87349393770292,1,0,1,1,0,"XOR",4,TRUE
"15",-1,-1,-1,-1,-1,-1,-1,-1,10,6.63360199370942,10,8.59564446783685,1,14,1002,0,-1,-10,8.80731161538657,1.59025117948458,10,6.63360199370942,0,0,1,-1,-1,"XOR",4,TRUE
"16",-1,-1,2.96150851900165,-1,-1,-1,1,-1,8.9802055854302,8.80998091264205,10,5.52430784547484,1,15,1002,0,2.96150851900165,10,8.32862358588677,2.22850188548431,10,5.52430784547484,1,0,1,1,0,"XOR",3,FALSE
"17",-1,4.11907162799616,2.84701930699521,3.6070049879927,-1,3,1,2,8.4288282518263,8.9802055854302,8.88437246347403,8.73963195008117,0,16,1002,0,2.84701930699521,8.88437246347403,8.75825956270292,0.295928030303031,8.9802055854302,8.4288282518263,3,0,1,0,0,"OR",2,FALSE
"18",-1,3.59997270199528,-1,2.67190874299558,-1,2,-1,1,7.18430556260146,9.42742682122565,1.92430372362013,10,0,17,1002,0,2.67190874299558,10,7.13400902686181,3.82132129751759,10,1.92430372362013,2,0,1,1,0,"OR",1,FALSE
"19",-1,-1,-1,2.72127002799243,-1,-1,-1,1,3.2679490919237,2.19036151836445,3.16854898031656,10,1,18,1002,0,2.72127002799243,10,4.65671489765118,7.1243801364651,10,2.19036151836445,1,0,1,1,0,"XOR",2,FALSE
"20",-1,4.93597437000426,-1,-1,-1,1,-1,-1,8.19051370992289,7.40502295556007,7.96258307122565,2.99527254971591,1,19,1002,0,4.93597437000426,7.40502295556007,6.63834807160613,2.06955418442235,8.19051370992289,2.99527254971591,1,0,1,0,0,"XOR",3,FALSE
"21",4.59935769399453,3.36015801799658,-1,-1,2,1,-1,-1,3.59464571073458,9.92632977374188,8.39240532416802,1.24752688717532,0,20,1002,0,3.36015801799658,9.92632977374188,5.79022692395495,5.51480379971591,9.92632977374188,1.24752688717532,2,0,1,1,0,"OR",1,FALSE
"22",-1,-1,-1,2.89645965899399,-1,-1,-1,1,7.34271953632305,2.3348245992289,8.73963195008117,7.40502295556007,1,21,1002,0,2.89645965899399,7.40502295556007,6.4555497602983,3.0454429197105,8.73963195008117,2.3348245992289,1,0,1,0,0,"XOR",2,FALSE
"23",2.34454539899889,-1,3.16852714700508,4.12866429699352,1,-1,2,3,10,0.83339938869724,10,9.14333591213474,0,22,1002,0,2.34454539899889,10,7.49418382520799,3.34108823305601,10,0.83339938869724,3,0,1,1,0,"OR",1,TRUE
"24",2.55796026501048,-1,-1,-1,1,-1,-1,-1,10,0.837481610186688,1.13255092075893,2.79817655489042,1,23,1002,0,2.55796026501048,10,3.69205227145901,8.41059697138799,10,0.837481610186688,1,0,1,1,0,"XOR",4,FALSE
"25",1.6688153760042,-1,-1,-1,1,-1,-1,-1,10,1.23535948914367,2.38436612215909,2.80293254109172,0,24,1002,0,1.6688153760042,10,4.10566453809862,7.85911394920184,10,1.23535948914367,1,0,1,1,0,"OR",2,FALSE
"26",-1,-1,3.44527823699173,-1,-1,-1,1,-1,9.46658444094968,9.89260190493101,10,9.01595474837662,1,25,1002,0,3.44527823699173,10,9.59378527356433,0.541619635247564,10,9.01595474837662,1,0,1,1,0,"XOR",4,FALSE
"27",3.35300957500294,3.90509940299671,2.84906568999577,-1,2,3,1,-1,7.1148681640625,8.96122127384334,10,3.59464571073458,0,26,1002,0,2.84906568999577,10,7.41768378716011,3.44308828378653,10,3.59464571073458,3,0,1,1,0,"OR",1,FALSE
"28",-1,2.34054030000698,-1,-1,-1,1,-1,-1,2.58582177100244,10,7.70500678520698,10,1,27,1002,0,2.34054030000698,10,7.57270713905235,3.23639048126353,10,2.58582177100244,1,0,1,1,0,"XOR",2,TRUE
"29",-1,-1,5.29776068699721,-1,-1,-1,1,-1,2.82916973163555,0.169225915685876,2.86745542055601,5.11319247159091,0,28,1002,0,5.29776068699721,2.86745542055601,2.74476088486709,3.15790878229843,5.11319247159091,0.169225915685876,1,0,1,0,0,"OR",5,FALSE
"30",4.17738898500102,-1,-1,-1,1,-1,-1,-1,10,1.23535948914367,10,8.54435908329951,1,29,1002,0,4.17738898500102,10,7.4449296431108,3.40676047585227,10,1.23535948914367,1,0,1,1,0,"XOR",3,TRUE
"31",3.95909430499887,-1,-1,3.17497968200769,2,-1,-1,1,6.66273240919237,7.36447817319399,5.22392768364448,7.4190531148539,0,30,1002,0,3.17497968200769,7.4190531148539,6.66754784522118,1.00200702617695,7.4190531148539,5.22392768364448,2,0,1,1,0,"OR",1,FALSE
"32",4.76437069599342,1.64438361499924,2.87635841200245,4.1402245490026,4,1,2,3,10,8.96122127384334,8.78001819957386,9.59840452516234,0,31,1002,0,1.64438361499924,8.96122127384334,9.33491099964489,0.886785333806817,10,8.78001819957386,4,0,1,0,0,"OR",1,FALSE
"33",0.940135905009811,-1,-1,-1,1,-1,-1,-1,10,8.55842887581169,0.169225915685876,9.62234298904221,1,32,1002,0,0.940135905009811,10,7.08749944513494,3.88333407315341,10,0.169225915685876,1,0,1,1,0,"XOR",1,FALSE
"34",-1,-1,4.15782289799245,-1,-1,-1,1,-1,8.7000779981737,9.03505795961851,9.57097833806818,1.8326320895901,1,33,1002,0,4.15782289799245,9.57097833806818,7.28468659636262,3.04838898894075,9.57097833806818,1.8326320895901,1,0,1,1,0,"XOR",3,FALSE
"35",2.49355856199691,4.36564203900343,5.14165400399361,3.55759117199341,1,3,4,2,9.91305264559659,6.33619432325487,5.7833109273539,5.63179313362419,0,34,1002,0,2.49355856199691,9.91305264559659,6.91608775745739,3.99595318418561,9.91305264559659,5.63179313362419,4,0,1,1,0,"OR",2,FALSE
"36",3.51251756199053,-1,-1,-1,1,-1,-1,-1,10,2.66758510044643,10,1.87349393770292,1,35,1002,0,3.51251756199053,10,6.13526975953734,5.15297365395022,10,1.87349393770292,1,0,1,1,0,"XOR",4,TRUE
"37",1.20463972899597,-1,-1,-1,1,-1,-1,-1,10,9.45612127130682,8.76198508522727,9.4898491401177,1,36,1002,0,1.20463972899597,10,9.42698887416295,0.764014834449404,10,8.76198508522727,1,0,1,1,0,"XOR",1,FALSE
"38",4.48780631799309,2.94385623699054,3.8078013589984,-1,3,1,2,-1,5.74605570211039,6.32149039924919,2.79817655489042,2.38135399756494,0,37,1002,0,2.94385623699054,6.32149039924919,4.31176916345373,2.67962831439394,6.32149039924919,2.38135399756494,3,0,1,1,0,"OR",3,FALSE
"39",-1,-1,3.24498351100192,-1,-1,-1,1,-1,4.56546139407468,1.8326320895901,7.24486512023133,3.13585157518263,0,38,1002,0,3.24498351100192,7.24486512023133,4.19470254476968,4.06688343394886,7.24486512023133,1.8326320895901,1,0,1,1,0,"OR",5,FALSE
"40",3.82630946600693,-1,-1,-1,1,-1,-1,-1,8.07240671925731,8.34979961444805,3.92930860643263,10,1,39,1002,0,3.82630946600693,8.07240671925731,7.5878787350345,3.21616168662067,10,3.92930860643263,1,0,1,0,0,"XOR",4,FALSE
"41",2.08732993499143,2.96726047199627,0.80729297499056,3.82338283199351,2,3,1,4,9.01595474837662,10,10,8.4288282518263,0,40,1002,0,0.80729297499056,10,9.36119575005073,0.85173899993236,10,8.4288282518263,4,0,1,1,0,"OR",1,TRUE
"42",1.27178453099623,-1,-1,2.69583502798923,1,-1,-1,2,10,2.19036151836445,0.837481610186688,8.71450448965097,0,41,1002,0,1.27178453099623,10,5.43558690455053,6.08588412726596,10,0.837481610186688,2,0,1,1,0,"OR",1,FALSE
"43",-1,-1,-1,4.86867091599561,-1,-1,-1,1,4.5076761617289,2.33121797635958,4.42389153814935,2.3348245992289,1,42,1002,0,4.86867091599561,2.3348245992289,3.39940256886668,1.47769812381629,4.5076761617289,2.33121797635958,1,0,1,0,0,"XOR",5,FALSE
"44",-1,2.09552872698987,-1,-1,-1,1,-1,-1,7.4190531148539,9.08582811231737,3.42140891335227,4.01305359679383,1,43,1002,0,2.09552872698987,9.08582811231737,5.98483593432934,4.13465623731737,9.08582811231737,3.42140891335227,1,0,1,1,0,"XOR",5,FALSE
"45",1.2626789269998,-1,-1,-1,1,-1,-1,-1,9.91765009892451,7.23646287794237,10,9.82122247869318,1,44,1002,0,1.2626789269998,9.91765009892451,9.24383386389002,1.00822151481331,10,7.23646287794237,1,0,1,0,0,"XOR",4,FALSE
"46",3.77805949100002,4.63351156799763,2.95352096500574,2.10538727500534,3,4,2,1,8.97172407670455,9.91305264559659,8.76036012327516,9.82122247869318,0,45,1002,0,2.10538727500534,9.82122247869318,9.36658983106737,0.728617086038961,9.91305264559659,8.76036012327516,4,0,1,0,0,"OR",5,FALSE
