"","RT1","RT2","RT3","RT4","Order1","Order2","Order3","Order4","Value1","Value2","Value3","Value4","choiceCondition","trialN","participant","firstRT","firstValue","meanValue","valueDiff","bestValue","worstValue","NChosen","minValue","maxValue","isWorstFirst","isBestFirst","catChoiceCondition","conflict","multiTarget"
"1",4.634125,3.185055,7.675515,-1,2,1,3,-1,6.453703704,8.074074074,5.12037037,3.064814815,0,0,"577d6a6c160201000103d7fc",3.185055,8.074074074,5.678240741,3.194444444,8.074074074,3.064814815,3,0.111111111,9.981481481,FALSE,TRUE,"OR",3,FALSE
"2",5.53311,6.967525,3.334625,-1,2,3,1,-1,5,5.055555556,4.351851852,0.555555556,0,1,"577d6a6c160201000103d7fc",3.334625,4.351851852,3.740740741,1.75308642,5.055555556,0.555555556,3,0.111111111,9.981481481,FALSE,FALSE,"OR",1,FALSE
"3",3.199965,-1,-1,-1,1,-1,-1,-1,3.537037037,2.462962963,2.407407407,3.574074074,1,2,"577d6a6c160201000103d7fc",3.199965,3.537037037,2.99537037,0.771604938,3.574074074,2.407407407,1,0.111111111,9.981481481,FALSE,FALSE,"XOR",1,FALSE
"4",4.167505,-1,-1,-1,1,-1,-1,-1,3.537037037,2.537037037,4.972222222,4.990740741,1,3,"577d6a6c160201000103d7fc",4.167505,3.537037037,4.009259259,1.308641975,4.990740741,2.537037037,1,0.111111111,9.981481481,FALSE,FALSE,"XOR",1,FALSE
"5",-1,-1,4.033345,-1,-1,-1,1,-1,9.416666667,6.972222222,8.509259259,7.148148148,1,4,"577d6a6c160201000103d7fc",4.033345,8.509259259,8.011574074,1.87345679,9.416666667,6.972222222,1,0.111111111,9.981481481,FALSE,FALSE,"XOR",2,FALSE
"6",-1,7.89961,6.587945,3.00038,-1,3,2,1,6.814814815,5.092592593,4.925925926,5.12962963,0,5,"577d6a6c160201000103d7fc",3.00038,5.12962963,5.490740741,1.765432099,6.814814815,4.925925926,3,0.111111111,9.981481481,FALSE,FALSE,"OR",2,FALSE
"7",-1,-1,4.965945,-1,-1,-1,1,-1,4.611111111,6.12037037,8.074074074,7.027777778,1,6,"577d6a6c160201000103d7fc",4.965945,8.074074074,6.458333333,2.154320988,8.074074074,4.611111111,1,0.111111111,9.981481481,FALSE,TRUE,"XOR",3,FALSE
"8",7.83192,5.616075,6.247885,7.248765,4,1,2,3,2.888888889,6.138888889,7.657407407,5,0,7,"577d6a6c160201000103d7fc",5.616075,6.138888889,5.421296296,2.981481481,7.657407407,2.888888889,4,0.111111111,9.981481481,FALSE,FALSE,"OR",1,FALSE
"9",4.81889,3.799735,5.63317,6.79198,2,1,3,4,8.314814815,8.361111111,7.111111111,4.944444444,0,8,"577d6a6c160201000103d7fc",3.799735,8.361111111,7.18287037,1.570987654,8.361111111,4.944444444,4,0.111111111,9.981481481,FALSE,TRUE,"OR",2,FALSE
"10",-1,3.81929,-1,-1,-1,1,-1,-1,8.212962963,6,4.611111111,7.157407407,1,9,"577d6a6c160201000103d7fc",3.81929,6,6.49537037,2.290123457,8.212962963,4.611111111,1,0.111111111,9.981481481,FALSE,FALSE,"XOR",2,FALSE
"11",5.512165,1.8623,5.062375,4.16215,4,1,3,2,7.944444444,8.5,5,4.824074074,0,10,"577d6a6c160201000103d7fc",1.8623,8.5,6.56712963,2.577160494,8.5,4.824074074,4,0.111111111,9.981481481,FALSE,TRUE,"OR",2,FALSE
