"","RT1","RT2","RT3","RT4","Order1","Order2","Order3","Order4","Value1","Value2","Value3","Value4","choiceCondition","trialN","participant","firstRT","firstValue","meanValue","valueDiff","bestValue","worstValue","isMoreTarget","NChosen","minValue","maxValue","isWorstFirst","isBestFirst","catChoiceCondition","conflict","conflictRT","secondValue","thirdValue","isSecondFirst","isThirdFirst","multiTarget"
"1",-1,3.00600000000009,-1,-1,-1,1,-1,-1,5.63809523809524,1.82857142857143,9.11428571428571,2.62857142857143,0,0,"57e972d7c3e5930001447bb1",3.00600000000009,1.82857142857143,4.80238095238095,3.96507936507936,9.11428571428571,1.82857142857143,FALSE,1,0.00952381,9.980952381,TRUE,FALSE,"OR",1,5.521,5.63809523809524,2.62857142857143,FALSE,FALSE,FALSE
"2",-1,5.89799999999991,-1,4.31899999999996,-1,2,-1,1,7.42857142857143,5.26666666666667,6.03809523809524,4.13333333333333,0,1,"57e972d7c3e5930001447bb1",4.31899999999996,4.13333333333333,5.71666666666667,2.11111111111111,7.42857142857143,4.13333333333333,FALSE,2,0.00952381,9.980952381,TRUE,FALSE,"OR",3,8.501,6.03809523809524,5.26666666666667,FALSE,FALSE,FALSE
"3",3.70100000000002,-1,-1,-1,1,-1,-1,-1,5.4952380952381,5.24761904761905,8.28571428571428,9.98095238095238,1,2,"57e972d7c3e5930001447bb1",3.70100000000002,5.4952380952381,7.25238095238095,2.67301587301587,9.98095238095238,5.24761904761905,FALSE,1,0.00952381,9.980952381,FALSE,FALSE,"XOR",2,5.489,8.28571428571428,5.4952380952381,FALSE,TRUE,FALSE
"4",-1,3.08300000000008,-1,-1,-1,1,-1,-1,8.47619047619048,5.80952380952381,6.03809523809524,6,1,3,"57e972d7c3e5930001447bb1",3.08300000000008,5.80952380952381,6.58095238095238,1.02857142857143,8.47619047619048,5.80952380952381,FALSE,1,0.00952381,9.980952381,TRUE,FALSE,"XOR",3,5.557,6.03809523809524,6,FALSE,FALSE,FALSE
"5",-1,-1,-1,3.14800000000014,-1,-1,-1,1,4.12380952380952,5.08571428571429,0.980952380952381,2.87619047619048,1,4,"57e972d7c3e5930001447bb1",3.14800000000014,2.87619047619048,3.26666666666667,3.04761904761905,5.08571428571429,0.980952380952381,FALSE,1,0.00952381,9.980952381,FALSE,FALSE,"XOR",4,7.291,4.12380952380952,2.87619047619048,FALSE,TRUE,FALSE
"6",5.87800000000016,-1,-1,-1,1,-1,-1,-1,6.03809523809524,6.98095238095238,5.73333333333333,7.98095238095238,0,5,"57e972d7c3e5930001447bb1",5.87800000000016,6.03809523809524,6.68333333333333,1.26666666666667,7.98095238095238,5.73333333333333,FALSE,1,0.00952381,9.980952381,FALSE,FALSE,"OR",4,5.996,6.98095238095238,6.03809523809524,FALSE,TRUE,FALSE
"7",4.01499999999987,2.86599999999999,7.48099999999999,-1,2,1,3,-1,3.04761904761905,2.72380952380952,3.0952380952381,3.3047619047619,0,6,"57e972d7c3e5930001447bb1",2.86599999999999,2.72380952380952,3.04285714285714,0.425396825396825,3.3047619047619,2.72380952380952,FALSE,3,0.00952381,9.980952381,TRUE,FALSE,"OR",2,5.582,3.0952380952381,3.04761904761905,FALSE,FALSE,FALSE
"8",-1,-1,3.12100000000009,-1,-1,-1,1,-1,7.20952380952381,7.98095238095238,4.21904761904762,6.73333333333333,0,7,"57e972d7c3e5930001447bb1",3.12100000000009,4.21904761904762,6.53571428571429,3.08888888888889,7.98095238095238,4.21904761904762,FALSE,1,0.00952381,9.980952381,TRUE,FALSE,"OR",2,4.157,7.20952380952381,6.73333333333333,FALSE,FALSE,FALSE
"9",-1,-1,-1,2.95699999999988,-1,-1,-1,1,6.06666666666667,7.07619047619048,1.56190476190476,1.13333333333333,1,8,"57e972d7c3e5930001447bb1",2.95699999999988,1.13333333333333,3.95952380952381,3.76825396825397,7.07619047619048,1.13333333333333,FALSE,1,0.00952381,9.980952381,TRUE,FALSE,"XOR",4,4.751,6.06666666666667,1.56190476190476,FALSE,FALSE,FALSE
"10",5.33299999999986,3.87899999999991,6.50900000000001,7.05099999999993,2,1,3,4,1.37142857142857,2.58095238095238,7.00952380952381,1.32380952380952,0,9,"57e972d7c3e5930001447bb1",3.87899999999991,2.58095238095238,3.07142857142857,2.33015873015873,7.00952380952381,1.32380952380952,FALSE,4,0.00952381,9.980952381,FALSE,FALSE,"OR",1,5.871,2.58095238095238,1.37142857142857,TRUE,FALSE,FALSE
