"","value","rt","participant","pic_path"
"1",5.961904762,6.263,"57e972d7c3e5930001447bb1","AT_0180_Black_Picture_Frame.jpeg"
"2",5.980952381,4.529,"57e972d7c3e5930001447bb1","BB_0073_sleepingbag.jpeg"
"3",4.00952381,6.44,"57e972d7c3e5930001447bb1","MM_0077_soundmachine.jpg"
"4",6.038095238,6.464,"57e972d7c3e5930001447bb1","BB_0065_cocktailset.jpeg"
"5",4.99047619,4.654,"57e972d7c3e5930001447bb1","BT_0038_Fan.jpeg"
"6",6.980952381,4.613,"57e972d7c3e5930001447bb1","AT_0062.jpg"
"7",2.028571429,4.521,"57e972d7c3e5930001447bb1","AS_0036_Drawing-sketch kit.jpg"
"8",0.019047619,4.098,"57e972d7c3e5930001447bb1","AT_0040.jpg"
"9",8.028571429,4.956,"57e972d7c3e5930001447bb1","MM_0081_charging_station.jpg"
"10",2.038095238,5.817,"57e972d7c3e5930001447bb1","RA_0047_LightsaberUmbrella.jpg"
"11",9.028571429,5.132,"57e972d7c3e5930001447bb1","KL_0002_AirFryer.jpg"
"12",9.971428571,5.859,"57e972d7c3e5930001447bb1","AT_0147_toaster_and_egg_poacher.jpg"
"13",9.980952381,6.485,"57e972d7c3e5930001447bb1","BB_0140_espressomaker.jpeg"
"14",8.028571429,8.403,"57e972d7c3e5930001447bb1","MM_0062_throw.jpg"
"15",6.066666667,6.086,"57e972d7c3e5930001447bb1","MM_0099_cubeclock.jpg"
"16",6,3.278,"57e972d7c3e5930001447bb1","BB_0138_pictureframe.jpeg"
"17",3.980952381,4.738,"57e972d7c3e5930001447bb1","SS_0012_Voice_Recorder.jpg"
"18",6.980952381,3.847,"57e972d7c3e5930001447bb1","BB_0107_Starrynightposter.jpeg"
"19",6.038095238,4.453,"57e972d7c3e5930001447bb1","BB_0070_shuffle.jpeg"
"20",6.066666667,11.478,"57e972d7c3e5930001447bb1","RA_0055_KeyboardProjector.jpg"
"21",3.00952381,7.352,"57e972d7c3e5930001447bb1","AT_0100.jpg"
"22",3.047619048,3.561,"57e972d7c3e5930001447bb1","AT_0190_cooler_tote.jpeg"
"23",7.561904762,4.695,"57e972d7c3e5930001447bb1","AT_0192_tea_gift_set.jpeg"
"24",9.961904762,3.462,"57e972d7c3e5930001447bb1","RA_0070_StringLights.jpg"
"25",8.019047619,3.72,"57e972d7c3e5930001447bb1","BB_0142_massager.jpeg"
"26",7.047619048,4.051,"57e972d7c3e5930001447bb1","MM_0083_coffee_table.jpg"
"27",1.047619048,4.041,"57e972d7c3e5930001447bb1","MM_0033_paddleball.jpg"
