"","RT1","RT2","RT3","RT4","Order1","Order2","Order3","Order4","Value1","Value2","Value3","Value4","choiceCondition","trialN","participant","endTime","firstRT","firstValue","meanValue","valueDiff","bestValue","worstValue","secondValue","thirdValue","NChosen","minValue","maxValue","isWorstFirst","isSecondFirst","isThirdFirst","isBestFirst","catChoiceCondition","conflict"
"1",2.42959999999402,-1,-1,-1,1,-1,-1,-1,1.08720703125,7.136865234375,6.034423828125,1.03076171875,1,0,"5589be79fdf99b18be320155",0.4332,2.42959999999402,1.08720703125,3.822314453125,3.7220703125,7.136865234375,1.03076171875,6.034423828125,1.08720703125,1,0,10,FALSE,FALSE,TRUE,FALSE,"XOR",2
"2",-1,-1,5.05480000001182,1.94549999999992,-1,-1,2,1,6.92412109375,9.075732421875,9.984423828125,0.0120605468750001,0,1,"5589be79fdf99b18be320155",3.4757,1.94549999999992,0.0120605468750001,6.49908447265625,8.649365234375,9.984423828125,0.0120605468750001,9.075732421875,6.92412109375,2,0,10,TRUE,FALSE,FALSE,FALSE,"OR",2
"3",-1,-1,1.58009999999399,-1,-1,-1,1,-1,7.883642578125,10,6.903271484375,8.88583984375,1,2,"5589be79fdf99b18be320155",0.2349,1.58009999999399,6.903271484375,8.4181884765625,2.01988932291667,10,6.903271484375,8.88583984375,7.883642578125,1,0,10,TRUE,FALSE,FALSE,FALSE,"XOR",1
"4",-1,1.86289999997621,-1,-1,-1,1,-1,-1,2.13505859375,0.166455078125,0.02626953125,0.03779296875,1,3,"5589be79fdf99b18be320155",0.5153,1.86289999997621,0.166455078125,0.59139404296875,0.753499348958334,2.13505859375,0.02626953125,0.166455078125,0.03779296875,1,0,10,FALSE,TRUE,FALSE,FALSE,"XOR",1
"5",-1,-1,6.70259999999405,-1,-1,-1,1,-1,3.9689453125,8.67236328125,3.951025390625,9.861181640625,0,4,"5589be79fdf99b18be320155",0.3659,6.70259999999405,3.951025390625,6.61337890625,3.5498046875,9.861181640625,3.951025390625,8.67236328125,3.9689453125,1,0,10,TRUE,FALSE,FALSE,FALSE,"OR",4
"6",3.69140000000596,2.29569999998807,-1,-1,2,1,-1,-1,0,0,7.9814453125,5.045947265625,0,5,"5589be79fdf99b18be320155",1.9147,2.29569999998807,0,3.25684814453125,4.34246419270833,7.9814453125,0,5.045947265625,0,2,0,10,TRUE,FALSE,TRUE,FALSE,"OR",1
"7",-1,1.59720000001789,-1,2.41100000000006,-1,1,-1,2,9.94501953125,1.016796875,9.94580078125,9.976318359375,0,6,"5589be79fdf99b18be320155",1.1821,1.59720000001789,1.016796875,7.72098388671875,8.938916015625,9.976318359375,1.016796875,9.94580078125,9.94501953125,2,0,10,TRUE,FALSE,FALSE,FALSE,"OR",4
"8",-1,2.80979999998203,-1,-1,-1,1,-1,-1,7.9814453125,2.01982421875,8.077880859375,9.98671875,1,7,"5589be79fdf99b18be320155",0.6489,2.80979999998203,2.01982421875,7.01646728515625,6.66219075520833,9.98671875,2.01982421875,8.077880859375,7.9814453125,1,0,10,TRUE,FALSE,FALSE,FALSE,"XOR",4
"9",1.21379999998203,3.12559999999394,-1,-1,1,2,-1,-1,0.0681640625000002,7.994873046875,9.988623046875,7.00712890625,0,8,"5589be79fdf99b18be320155",2.3627,1.21379999998203,0.0681640625000002,6.264697265625,8.26204427083333,9.988623046875,0.0681640625000002,7.994873046875,7.00712890625,2,0,10,TRUE,FALSE,FALSE,FALSE,"OR",2
"10",-1,-1,2.86040000000594,-1,-1,-1,1,-1,7.919921875,9.033642578125,5.985400390625,9.996435546875,0,9,"5589be79fdf99b18be320155",2.3163,2.86040000000594,5.985400390625,8.23385009765625,2.99793294270833,9.996435546875,5.985400390625,9.033642578125,7.919921875,1,0,10,TRUE,FALSE,FALSE,FALSE,"OR",5
"11",-1,1.91229999998222,-1,-1,-1,1,-1,-1,7.925341796875,8.02373046875,6.78173828125,9.97138671875,1,10,"5589be79fdf99b18be320155",0.9344,1.91229999998222,8.02373046875,8.17554931640625,1.85841471354167,9.97138671875,6.78173828125,8.02373046875,7.925341796875,1,0,10,FALSE,TRUE,FALSE,FALSE,"XOR",2
