"","RT1","RT2","RT3","RT4","Order1","Order2","Order3","Order4","Value1","Value2","Value3","Value4","choiceCondition","trialN","participant","endTime","firstRT","firstValue","meanValue","valueDiff","bestValue","worstValue","secondValue","thirdValue","NChosen","minValue","maxValue","isWorstFirst","isSecondFirst","isThirdFirst","isBestFirst","catChoiceCondition","conflict","scaledTrialNum","scaledMeanValue","scaledValueDiff"
"1",-1,9.5572000000011,4.33050000000003,-1,-1,2,1,-1,2.76388888888889,3.67592620849609,3.93981509738498,2.56481509738498,0,0,"55b2d3f2fdf99b525bc839aa",6.2009,4.33050000000003,3.93981509738498,3.23611132303874,0.938271699128328,3.93981509738498,2.56481509738498,3.67592620849609,2.76388888888889,2,0,9.625,FALSE,FALSE,FALSE,TRUE,"OR",2,-1.71755538429157,-0.870047087285824,-0.734973327596975
"2",1.57779999999889,2.75969999999916,-1,-1,1,2,-1,-1,7.43518575032552,6.87037065294054,6.59259287516276,7.01851908365885,0,1,"55b2d3f2fdf99b525bc839aa",2.4225,1.57779999999889,7.43518575032552,6.97916709052192,0.608024879738137,7.43518575032552,6.59259287516276,7.01851908365885,6.87037065294054,2,0,9.625,FALSE,FALSE,FALSE,TRUE,"OR",4,-1.68868890724466,0.598131826942074,-0.937020527181152
"3",2.21070000000122,-1,-1,-1,1,-1,-1,-1,5.85648176405165,4.54629686143663,3.25463019476997,3.5,1,2,"55b2d3f2fdf99b525bc839aa",0.7216,2.21070000000122,5.85648176405165,4.28935220506456,2.08950607864945,5.85648176405165,3.25463019476997,4.54629686143663,3.5,1,0,9.625,FALSE,FALSE,FALSE,TRUE,"XOR",2,-1.65982243019774,-0.456923118354723,-0.030640480798394
"4",1.51509999999962,2.89830000000075,-1,-1,1,2,-1,-1,3.74537065294054,2.56481509738498,3.64814843071832,3.70370398627387,0,3,"55b2d3f2fdf99b525bc839aa",2.0107,1.51509999999962,3.74537065294054,3.41550954182943,0.439814814814814,3.74537065294054,2.56481509738498,3.70370398627387,3.64814843071832,2,0,9.625,FALSE,FALSE,FALSE,TRUE,"OR",2,-1.63095595315082,-0.799679799582912,-1.03993256316196
"5",1.16760000000136,-1,-1,-1,1,-1,-1,-1,6.43055555555556,6.65277777777778,7.38425954182943,6.65740797254774,1,4,"55b2d3f2fdf99b525bc839aa",1.5487,1.16760000000136,6.43055555555556,6.78125021192763,0.80401243986907,7.38425954182943,6.43055555555556,6.65740797254774,6.65277777777778,1,0,9.625,TRUE,FALSE,FALSE,FALSE,"XOR",4,-1.60208947610391,0.520500766660725,-0.817114034967508
"6",-1,17.7385999999997,-1,-1,-1,1,-1,-1,2.49074088202582,3.10648176405165,6.7870373196072,5.85648176405165,1,5,"55b2d3f2fdf99b525bc839aa",1.9907,17.7385999999997,3.10648176405165,4.56018543243408,2.96913584956416,6.7870373196072,2.49074088202582,5.85648176405165,3.10648176405165,1,0,9.625,FALSE,FALSE,TRUE,FALSE,"XOR",2,-1.57322299905699,-0.350691296443187,0.507522860827015
"7",-1,-1,-1,4.36510000000135,-1,-1,-1,1,3.31018575032552,3.68518575032552,3.60185241699219,4.94907463921441,1,6,"55b2d3f2fdf99b525bc839aa",2.6059,4.36510000000135,4.94907463921441,3.88657463921441,1.41666666666667,4.94907463921441,3.31018575032552,3.68518575032552,3.60185241699219,1,0,9.625,FALSE,FALSE,FALSE,TRUE,"XOR",2,-1.54435652201007,-0.614908883472738,-0.44228810608669
"8",2.52319999999941,-1,-1,-1,1,-1,-1,-1,3.37963019476997,3,7.32870398627387,6.56481509738498,1,7,"55b2d3f2fdf99b525bc839aa",0.5717,2.52319999999941,3.37963019476997,5.0682873196072,3.01388888888889,7.32870398627387,3,6.56481509738498,3.37963019476997,1,0,9.625,FALSE,FALSE,TRUE,FALSE,"XOR",3,-1.51549004496315,-0.151393042992751,0.534903067804145
"9",-1,2.84990000000039,-1,-1,-1,1,-1,-1,6.63888888888889,6.75463019476997,2.44907421535916,6.42129686143663,1,8,"55b2d3f2fdf99b525bc839aa",0.7449,2.84990000000039,6.75463019476997,5.56597254011366,1.58487687287507,6.75463019476997,2.44907421535916,6.63888888888889,6.42129686143663,1,0,9.625,FALSE,FALSE,FALSE,TRUE,"XOR",4,-1.48662356791624,0.0438193695548075,-0.339375983666735
"10",-1,1.59859999999981,2.20340000000056,-1,-1,1,2,-1,7.7870373196072,7.80555555555556,7.54166666666667,7.74537065294054,0,9,"55b2d3f2fdf99b525bc839aa",2.0932,1.59859999999981,7.80555555555556,7.71990754869249,0.114197342484085,7.80555555555556,7.54166666666667,7.7870373196072,7.74537065294054,2,0,9.625,FALSE,FALSE,FALSE,TRUE,"OR",2,-1.45775709086932,0.888680402533509,-1.23914749743925
