"","RT1","RT2","RT3","RT4","Order1","Order2","Order3","Order4","Value1","Value2","Value3","Value4","trialNGlobal","participant","choiceCondition","phase","firstRT","firstValue","meanValue","valueDiff","bestValue","worstValue","secondValue","thirdValue","isBestFirst","varValue","conflict","confrt"
"1",-1,3.33350000000019,-1,-1,-1,1,-1,-1,3.99470919654483,4.04761945129072,0.11904792180137,1.05820166370856,0,"5af1c4dfaec2b600010a96c9",0,"OR1",3.33350000000019,4.04761945129072,2.30489455833637,2.3236331906058,4.04761945129072,0.11904792180137,3.99470919654483,1.05820166370856,TRUE,4.07491075199772,3,2.9845
"2",-1,3.75089999999113,-1,-1,-1,1,-1,-1,0.0529103556638039,5.01322731139168,3.0291003272647,0.727513328431144,1,"5af1c4dfaec2b600010a96c9",0,"OR1",3.75089999999113,5.01322731139168,2.20568783068783,3.7433859742718,5.01322731139168,0.0529103556638039,3.0291003272647,0.727513328431144,TRUE,5.1265789304408,3,2.5376
"3",-1,-1,-1,11.266299999997,-1,-1,-1,1,7.11640211640212,4.88095217911655,5.96560886928013,7.88359828726955,2,"5af1c4dfaec2b600010a96c9",0,"OR1",11.266299999997,7.88359828726955,6.46164036301709,1.89594389900329,7.88359828726955,4.88095217911655,7.11640211640212,5.96560886928013,TRUE,1.73176655651397,3,3.8439
"4",-1,3.38269999998806,-1,-1,-1,1,-1,-1,1.03174603174603,2.91005351556041,2.36772466588903,0.4497357524892,3,"5af1c4dfaec2b600010a96c9",0,"OR1",3.38269999998806,2.91005351556041,1.68981499142117,1.62698469885232,2.91005351556041,0.4497357524892,2.36772466588903,1.03174603174603,TRUE,1.30646495234955,4,1.9058
"5",-1,-1,-1,6.19100000000003,-1,-1,-1,1,2.01058221241784,4.98677268860832,0.0661376670554831,5.92592592592593,4,"5af1c4dfaec2b600010a96c9",0,"OR1",6.19100000000003,5.92592592592593,3.24735462350189,3.57142840323204,5.92592592592593,0.0661376670554831,4.98677268860832,2.01058221241784,TRUE,7.28335558272966,4,2.632
"6",5.27770000000305,-1,-1,-1,1,-1,-1,-1,8.01587341954468,7.55291045658172,8.08201098568225,9.03439153439154,5,"5af1c4dfaec2b600010a96c9",0,"OR1",5.27770000000305,8.01587341954468,8.17129659905005,1.15079324712198,9.03439153439154,7.55291045658172,8.08201098568225,8.01587341954468,FALSE,0.386487524697002,2,2.6755
"7",-1,-1,3.20710000000895,-1,-1,-1,1,-1,5.27777757594194,5.01322731139168,4.64285754652881,5.10582050949177,6,"5af1c4dfaec2b600010a96c9",0,"OR1",3.20710000000895,4.64285754652881,5.00992073583855,0.357142453471188,5.27777757594194,4.64285754652881,5.10582050949177,5.01322731139168,FALSE,0.0718967905883468,2,2.846
"8",-1,-1,-1,5.74920000000293,-1,-1,-1,1,6.78571428571429,1.94444464628028,1.07142897510024,1.89153439153439,7,"5af1c4dfaec2b600010a96c9",0,"OR1",5.74920000000293,1.89153439153439,2.9232805746573,5.14991161474265,6.78571428571429,1.07142897510024,1.94444464628028,1.89153439153439,FALSE,6.79012282672063,4,1.5378
"9",-1,-1,-1,7.88310000000911,-1,-1,-1,1,0.873016276687541,0.0264552282908603,1.00917916801002e-07,8.98148127964565,8,"5af1c4dfaec2b600010a96c9",0,"OR1",7.88310000000911,8.98148127964565,2.47023822138549,8.68165741101354,8.98148127964565,1.00917916801002e-07,0.873016276687541,0.0264552282908603,TRUE,19.0071852645052,2,2.1109
"10",-1,3.5665999999942,-1,-1,-1,1,-1,-1,0.952381154216786,9.02116422299986,6.04497374680938,0.595238196156012,9,"5af1c4dfaec2b600010a96c9",0,"OR1",3.5665999999942,9.02116422299986,4.15343933004551,6.49029985727246,9.02116422299986,0.595238196156012,6.04497374680938,0.952381154216786,TRUE,16.7267389458474,2,2.7057
