"Value1","Value2","Value3","Value4"
10,10,9.91765009892451,10
1.56082747818588,8.97148627739448,7.81415666852679,9.88174240310471
0,8.3132181539164,9.45612127130682,10
10,9.02946967583198,7.49891404981737,8.76198508522727
9.5963039645901,10,8.97172407670455,9.97234394023945
8.9364108791599,9.31066735998377,1.5121975192776,6.09078543526786
10,10,9.10061130275974,9.34403852982955
7.01186142958604,4.06358595018263,7.70500678520698,7.57136357295049
6.97036544997971,1.13255092075893,9.12855272169237,2.7189893846388
8.76036012327516,9.31066735998377,9.9774169921875,9.04758205661526
5.22392768364448,10,10,10
10,4.62003633573458,4.56546139407468,10
6.97036544997971,7.24486512023133,3.17580185927354,8.68600820566153
10,10,7.52420004312094,1.87349393770292
8.9802055854302,8.80998091264205,10,5.52430784547484
8.4288282518263,8.9802055854302,8.88437246347403,8.73963195008117
7.18430556260146,9.42742682122565,1.92430372362013,10
3.2679490919237,2.19036151836445,3.16854898031656,10
8.19051370992289,7.40502295556007,7.96258307122565,2.99527254971591
3.59464571073458,9.92632977374188,8.39240532416802,1.24752688717532
7.34271953632305,2.3348245992289,8.73963195008117,7.40502295556007
10,0.83339938869724,10,9.14333591213474
10,0.837481610186688,1.13255092075893,2.79817655489042
10,1.23535948914367,2.38436612215909,2.80293254109172
9.46658444094968,9.89260190493101,10,9.01595474837662
7.1148681640625,8.96122127384334,10,3.59464571073458
2.58582177100244,10,7.70500678520698,10
2.82916973163555,0.169225915685876,2.86745542055601,5.11319247159091
10,1.23535948914367,10,8.54435908329951
6.66273240919237,7.36447817319399,5.22392768364448,7.4190531148539
10,8.96122127384334,8.78001819957386,9.59840452516234
10,8.55842887581169,0.169225915685876,9.62234298904221
8.7000779981737,9.03505795961851,9.57097833806818,1.8326320895901
9.91305264559659,6.33619432325487,5.7833109273539,5.63179313362419
10,2.66758510044643,10,1.87349393770292
10,9.45612127130682,8.76198508522727,9.4898491401177
5.74605570211039,6.32149039924919,2.79817655489042,2.38135399756494
4.56546139407468,1.8326320895901,7.24486512023133,3.13585157518263
8.07240671925731,8.34979961444805,3.92930860643263,10
9.01595474837662,10,10,8.4288282518263
